,USE,101,102,103,201,301,401,501,601,701,801,802,901,1001,1101,1102,1103,1104,1105,1106,1107,1108,1109,1201,1202,1205,1301,1302,1303,1304,1305,1306,1401,1402,1501,1502,1601,1701,1801,1802,1803,1804,1901,1902,2001,2002,2003,2004,2005,2101,2102,2201,2202,2203,2204,2301,2302,2303,2304,2401,2403,2404,2405,2501,2502,2601,2605,2701,2801,2901,3001,3002,3101,3201,3301,3901,4401,4501,4601,4701,4801,4901,5101,5201,5401,5501,5601,5701,5801,6001,6201,6301,6401,6601,6701,6702,6901,7001,7210,7310,7501,7601,7701,8010,8110,8210,8401,8601,8901,9101,9201,9401,9402,9501,9502,,,,,,,,,,
,,"Sheep, grains, beef and dairy cattle",Poultry and other livestock,Other agriculture,Aquaculture,Forestry and logging,"Fishing, hunting and trapping","Agriculture, forestry and fishing support services",Coal mining,Oil and gas extraction,Iron ore mining,Non-ferrous metal ore mining,Non-metallic mineral mining,Exploration and mining support services,Meat and meat product manufacturing,Processed seafood manufacturing,Dairy product manufacturing,Fruit and vegetable product manufacturing,Oils and fats manufacturing,Grain mill and cereal product manufacturing,Bakery product manufacturing,Sugar and confectionery manufacturing,Other food product manufacturing,"Soft drinks, cordials and syrup manufacturing",Beer manufacturing,"Wine, spirits and tobacco",Textile manufacturing,"Tanned leather, dressed fur and leather product manufacturing",Textile product manufacturing,Knitted product manufacturing,Clothing manufacturing,Footwear manufacturing,Sawmill product manufacturing,Other wood product manufacturing,"Pulp, paper and paperboard manufacturing",Paper stationery and other converted paper product manufacturing,Printing (including the reproduction of recorded media),Petroleum and coal product manufacturing,Human pharmaceutical and medicinal product manufacturing,Veterinary pharmaceutical and medicinal product manufacturing,Basic chemical manufacturing,Cleaning compounds and toiletry preparation manufacturing,Polymer product manufacturing,Natural rubber product manufacturing,Glass and glass product manufacturing,Ceramic product manufacturing,"Cement, lime and ready-mixed concrete manufacturing",Plaster and concrete product manufacturing,Other non-metallic mineral product manufacturing,Iron and steel manufacturing,Basic non-ferrous metal manufacturing,Forged iron and steel product manufacturing,Structural metal product manufacturing,Metal containers and other sheet metal product manufacturing,Other fabricated metal product manufacturing,"Motor vehicles and parts;
 other transport equipment manufacturing",Ships and boat manufacturing,Railway rolling stock manufacturing,Aircraft manufacturing,"Professional, scientific, computer and electronic equipment manufacturing",Electrical equipment manufacturing,Domestic appliance manufacturing,Specialised and other machinery and equipment manufacturing,Furniture manufacturing,Other manufactured products,Electricity generation,"Electricity transmission, distribution, on selling and electricity market operation",Gas supply,"Water supply, sewerage and drainage services","Waste collection, treatment and disposal services",Residential building construction,Non-residential building construction,Heavy and civil engineering construction,Construction services,Wholesale trade,Retail trade,Accommodation,Food and beverage services,Road transport,Rail transport,"Water, pipeline and other transport",Air and space transport,Postal and courier pick-up and delivery service,Transport support services and storage,Publishing (except internet and music publishing),Motion picture and sound recording,Broadcasting (except internet),"Internet service providers, internet publishing and broadcasting, websearch portals and data processing",Telecommunication services,Library and other information services,Finance,Insurance and superannuation funds,Auxiliary finance and insurance services,Rental and hiring services (except real estate),Ownership of dwellings,Non-residential property operators and real estate services,"Professional, scientific and technical services",Computer systems design and related services,"Employment, travel agency and other administrative services","Building cleaning, pest control and other support services",Public administration and regulatory services,Defence,Public order and safety,Primary and secondary education services (including pre-schools and special schools),"Technical, vocational and tertiary education services (including undergraduate and postgraduate)","Arts, sports, adult and other education services (including community education)",Health care services,Residential care and social assistance services,"Heritage, creative and performing arts",Sports and recreation,Gambling,Automotive repair and maintenance,Other repair and maintenance,Personal services,Other services,Total Industry Uses,"Households ;
 Final Consumption Expenditure","General Government ;
 Final Consumption Expenditure","Private ;
 Gross Fixed Capital Formation","Public Corporations ;
 Gross Fixed Capital Formation","General Government ;
 Gross Fixed Capital Formation",Changes in Inventories,Exports of Goods and Services,"Final Uses 
(Q1 to Q7)",Total Supply
FROM INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,Q1,Q2,Q3,Q4,Q5,Q6,Q7,T5,T6
101,"Sheep, grains, beef and dairy cattle", 2 774,336,346,1,0,1,19,1,1,1,2,0,0, 16 926,1, 4 678,4,85, 2 039,89,29,91,16,450,256,223,63,850,0,0,0,5,5,0,1,0,1,47,59,63,31,1,0,1,0,2,0,1,1,5,0,2,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,11,6,4,26,302, 1 154,42,71,2,0,0,3,1,5,0,0,0,0,1,0,0,0,0,0,0,836,37,0,0,6,4,1,8,1,2,0,8,40,0,1,0,1,1,3,133, 32 229,278,10, 1 804,77,233,-174, 9 961, 12 189, 44 418
102,Poultry and other livestock,57,140,140,0,0,5,1,0,0,0,0,0,0, 4 471,0,114,0,1,3,47,23,159,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,174,449,74,203,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,5,18,25,2,40,14,0,70,19,0,0,1,0, 6 366,854,1, 1 281,4,7,-16,268, 2 398, 8 764
103,Other agriculture, 2 752,561,611,1,0,1, 2 014,0,0,0,1,0,0,25,1,14,951,23,4,96, 1 549,863,21,3, 2 156,2,1,2,0,0,0,3,3,1,3,1,0,4,0,2,0,301,19,2,1,3,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,15,0,2,2,0,12,0,99,48,33,449,72,513,218,868,4,5,7,6,6,31,0,21,0,0,0,0,2,0,0,24,0,104,17,0,11,7,27,7,14,27,47,7,176,68,18,135,104,4,3,83,2, 15 304, 7 996,4, 1 016,24,89,72, 2 314, 11 514, 26 818
201,Aquaculture,0,0,0,50,0,0,0,0,0,0,0,0,0,0,241,0,0,110,0,26,14,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,302,113,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0, 1 308,683,0,10,0,2,13,75,783, 2 091
301,Forestry and logging,36,11,19,0,229,0,0,5,9,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0, 1 877,777,0,0,3,8,25,0,98,28,33,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,8,1,1,0,1,1,2,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,54,9,5,5,1,0,0,1,1,1,0,1,1,0,0,0,2,1,0,0, 3 291,69,70,32,0,8,80,543,802, 4 093
401,"Fishing, hunting and trapping",26,8,25,1,0,7,2,7,19,2,12,1,0,0,362,0,0,1,1,0,0,23,2,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,8,2,14,32,26,498,38,95,2,1,0,1,1,6,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,5,8,0,2,0,1,0,5,2,3,2,2,0,10,4,0, 1 306,653,24,24,0,6,29,914, 1 650, 2 956
501,"Agriculture, forestry and fishing support services", 2 433,142, 2 708,30,613,199,145,20,13,26,144,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,7,2,10,25,8,2,1,1,5,1,0,1,1,5,0,0,0,2,1,0,2,2,0,1,0,2,8,3,2,3,41,1,3,1,1,0,4,1,0,1,0,1,7,2,0, 6 661,7,524,83,1,20,- 1 509, 2 578, 1 704, 8 365
